Tipo,Data,Categoria,Valor,Descrição,Origem,Erro
"Documento Principal","","Lote","","Lote Processado Manualmente","", ""
"Anexo","20/01/2026","Outros","","","Lote Local",""
"Anexo","20/01/2026","Outros","","","Lote Local",""
"Anexo","14/01/2026","Outros","1.000,00","","Lote Local",""
"Anexo","29/01/2026","Outros","104,95","","Lote Local",""
"Anexo","15/01/2026","Outros","1.130,00","","Lote Local",""
"Anexo","15/01/2026","Internet","162,00","","Lote Local",""
"Anexo","20/01/2026","Outros","","","Lote Local",""
"Anexo","25/01/2026","Outros","","","Lote Local",""
"Anexo","14/01/2026","Internet","2.026,00","","Lote Local",""
"Anexo","03/02/2026","Outros","","","Lote Local",""
"Anexo","16/01/2026","Outros","","","Lote Local",""
"Anexo","20/01/2026","Internet","2.026,00","","Lote Local",""
"Anexo","02/02/2026","Outros","","","Lote Local",""
"Anexo","24/01/2026","Manutenção","619,00","","Lote Local",""
"Anexo","29/01/2026","Manutenção","0,00","","Lote Local",""
"Anexo","07/01/2026","Outros","2.045,26","","Lote Local",""
"Anexo","07/01/2026","Outros","2.045,26","","Lote Local",""
"Anexo","10/01/2026","Outros","55.862,00","","Lote Local",""
"Anexo","25/02/2026","Manutenção","","","Lote Local",""
"Anexo","25/12/2025","Manutenção","","","Lote Local",""
"Anexo","25/03/2026","Manutenção","48,00","","Lote Local",""
"Anexo","25/04/2026","Manutenção","","","Lote Local",""
"Anexo","25/01/2026","Manutenção","","","Lote Local",""
"Anexo","15/01/2026","Agua","97,00","","Lote Local",""
"Anexo","15/12/2025","Manutenção","","","Lote Local",""
"Anexo","27/01/2026","Outros","","","Lote Local",""
"Anexo","15/01/2026","Outros","2.800,00","","Lote Local",""
"Anexo","13/01/2026","Internet","0,25","","Lote Local",""
"Anexo","29/01/2026","Internet","","","Lote Local",""
"Anexo","14/01/2026","Outros","3.290,00","","Lote Local",""
"Anexo","10/01/2026","Outros","","","Lote Local",""
"Anexo","12/01/2026","Manutenção","17,64","","Lote Local",""
