Tipo,Data,Categoria,Valor,Descricao,Origem,Erro
,,,,,doc_42952_27.pdf,Falha ao ler o PDF: No /Root object! - Is this really a PDF? | Fallback: Stream has ended unexpectedly
Anexo,,Erro,,,doc_42952_p1.pdf,
Anexo,31/03/2025,Nota Fiscal / Servio,,,doc_42952_p2.pdf,
Anexo,14/01/2026,Pagamentos,,"ELEVADORES ATLAS SCHINDLER LTD CPF/CNPJ do beneficiário: Data de vencimento:
Razão Social: ELEVADORES ATLAS SCHINDLER L 00.028.986/0001-08 25/12/2025
Valor do boleto (R$);
400,21
(-) Desconto (R$):
0,00
(+)Juros/Mora/Multa (R$):
2,58
Pagador: CPF/CNPJ do pagador: (=) Valor do pagamento (R$):
PORTAL QUINTA DOS PINHEIROS 46.028.481/0001-44 402,79
Data de pagamento:
14/01/2026
Autenticação mecânica Pagamento realizado em espécie:
46F34B0BEC61C03E47675F5014831CB3D40E6ACD Não
Operação efetuada em 14/01/2026 às 16:03:58 via Sispag, CTRL 008617684174380.
Em caso de dúvidas, de posse do comprovante, contate seu gerente ou a Central no 40901685 (capitais e regiões metropolitanas) ou 0800 7701685(demais
localidades). Reclamações, informações e cancelamentos: SAC 0800 728 0728, 24 horas por dia ouFale Conosco: www.itau.com.br/empresasSe não ficar satisfeito com
a solução, contate a Ouvidoria: 0800 570 0011, em dias úteis, das 9h às 18h. Deficiente auditivo/fala: 0800 722 1722
1",doc_42952_p3.pdf,
,,,,,doc_46278_28.pdf,Falha ao ler o PDF: No /Root object! - Is this really a PDF? | Fallback: Stream has ended unexpectedly
Anexo,,Erro,,,doc_46278_p1.pdf,
Anexo,11/02/2025,Nota Fiscal / Servio,,,doc_46278_p2.pdf,
Anexo,14/01/2026,Pagamentos,,"ELEVADORES ATLAS SCHINDLER LTD CPF/CNPJ do beneficiário: Data de vencimento:
Razão Social: ELEVADORES ATLAS SCHINDLER L 00.028.986/0001-08 25/12/2025
Valor do boleto (R$);
489,34
(-) Desconto (R$):
0,00
(+)Juros/Mora/Multa (R$):
3,19
Pagador: CPF/CNPJ do pagador: (=) Valor do pagamento (R$):
PORTAL QUINTA DOS PINHEIROS 46.028.481/0001-44 492,53
Data de pagamento:
14/01/2026
Autenticação mecânica Pagamento realizado em espécie:
8643C42F7BB81B8225F983473EE3AC26B194FCCB Não
Operação efetuada em 14/01/2026 às 16:03:58 via Sispag, CTRL 005717684174385.
Em caso de dúvidas, de posse do comprovante, contate seu gerente ou a Central no 40901685 (capitais e regiões metropolitanas) ou 0800 7701685(demais
localidades). Reclamações, informações e cancelamentos: SAC 0800 728 0728, 24 horas por dia ouFale Conosco: www.itau.com.br/empresasSe não ficar satisfeito com
a solução, contate a Ouvidoria: 0800 570 0011, em dias úteis, das 9h às 18h. Deficiente auditivo/fala: 0800 722 1722
1",doc_46278_p3.pdf,
,,,,,doc_46279_29.pdf,Falha ao ler o PDF: No /Root object! - Is this really a PDF? | Fallback: Stream has ended unexpectedly
Anexo,,Erro,,,doc_46279_p1.pdf,
