Tipo,Data,Categoria,Valor,Descrição,Origem,Erro
"Documento Principal","02/12/2025","Agua","0,00","","", ""
"Anexo","12/12/2025","Cartão de Crédito","40,00","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/arquivos?accesskey=d3a9039fb154b886c4a7f198ee0d4a788e962be4&ferramenta=DESPESA&id=60567&idParcela=64842",""
"Anexo","12/12/2025","Outros","3.480,00","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/arquivos?accesskey=07a5fcface1642de1e97b24d0b1296ed36f5b3cc&ferramenta=DESPESA&id=60578&idParcela=64858",""
"Anexo","03/12/2025","Outros","2.549,10","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/arquivos?accesskey=14dc21db5ddff74e926b70152d33ebfec7cf5894&ferramenta=DESPESA&id=62836&idParcela=67349",""
"Anexo","17/08/2022","Internet","1.741,88","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=172710&hash=fd73ee6278dc9ea0623714041f948983f0b24192&filename=cairesimoveis1",""
"Anexo","05/12/2025","Outros","2.342,04","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=174006&hash=203033948172b4ee2035ff4054c3babe87570ea5&filename=cairesimoveis1",""
"Anexo","17/08/2022","Internet","870,76","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=175037&hash=f75790ad18fb9b2f5735259b567895ea7584cddf&filename=cairesimoveis1",""
"Anexo","17/12/2025","Outros","870,76","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=177742&hash=5b156cf08bc2dc42ab8782b7ffc668ec7d2f0939&filename=cairesimoveis1",""
"Anexo","17/08/2022","Internet","1.874,63","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=175247&hash=d41e3d2f6455f331e7f3740658d0a134e5e0b536&filename=cairesimoveis1",""
"Anexo","17/12/2025","Outros","1.874,63","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=177743&hash=96a7f348313e1ddc198e85c61fe3baac868c6ac4&filename=cairesimoveis1",""
"Anexo","19/12/2025","Outros","1.482,97","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=172696&hash=329af0d3b027c58e6850c9051902837b0ae66051&filename=cairesimoveis1",""
"Anexo","12/12/2025","Internet","2.025,00","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=177259&hash=9c60d1b73e18514c09a76a7cda0c7884ee87b611&filename=cairesimoveis1",""
"Anexo","19/12/2025","Outros","1.407,84","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=175244&hash=a15f30217dfb1e16fe26987dc82239879bde0bae&filename=cairesimoveis1",""
"Anexo","12/12/2025","Internet","2.025,00","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=177258&hash=56941bbb60b2172fa78211394d9ffa0ccd74e6b9&filename=cairesimoveis1",""
