arquivo,categoria,data,valor,status
0983fbed-2117-4e56-a7e7-c85859922b10.pdf,Luz,16/12/2025,"586,17",OK
0efc6709-82bf-4f6a-89e3-e8b62b828130.pdf,Luz,16/12/2025,"9.064,02",OK
"1000,00,.pdf",Pagamentos,19/12/2025,"1.000,00",OK
"101,66.pdf",Pagamentos,17/12/2025,"101,46",OK
1086.pdf,Pagamentos,17/12/2025,"1.080,00",OK
"111,06.pdf",Pagamentos,17/12/2025,"111,06",OK
"12631,.pdf",Pagamentos,17/12/2025,"12.631,75",OK
1299.pdf,Pagamentos,17/12/2025,"1.299,86",OK
1407.pdf,Impostos/Taxas,12/12/2025,"1.407,84",OK
1482.pdf,Impostos/Taxas,12/12/2025,"1.482,97",OK
1518 b.pdf,Pagamentos,18/12/2025,"1.518,00",OK
"1518.,.pdf",Pagamentos,12/12/2025,"1.518,00",OK
1874.pdf,Pagamentos,17/12/2025,"1.874,63",OK
"200,0.pdf",Pagamentos,12/12/2025,"200,00",OK
2000..pdf,Pagamentos,12/12/2025,"2.000,00",OK
23.pdf,Pagamentos,12/12/2025,"23,00",OK
2342.pdf,Pagamentos,05/12/2025,"2.342,04",OK
"237,.pdf",Pagamentos,23/02/2026,"237,11",OK
"237,11.pdf",Pagamentos,14/01/2026,"237,11",OK
"237,111.pdf",Pagamentos,13/03/2026,"237,11",OK
"237,1110.pdf",Pagamentos,22/04/2026,"237,11",OK
"237,112.pdf",Pagamentos,14/01/2026,"237,11",OK
243.pdf,Pagamentos,12/12/2025,"243,41",OK
24441.pdf,Pagamentos,12/12/2025,,FALHA_VALOR
"265,25.pdf",Pagamentos,17/12/2025,"254,75",OK
2798653 1.pdf,Erro,,,FALHA_VALOR
2798653 10.pdf,Erro,,,FALHA_VALOR
2798653 11.pdf,Erro,,,FALHA_VALOR
2798653 12.pdf,Erro,,,FALHA_VALOR
2798653 3.pdf,Erro,,,FALHA_VALOR
2798653 6.pdf,Erro,,,FALHA_VALOR
2798653 6_1.pdf,Erro,,,FALHA_VALOR
2798653 7.pdf,Erro,,,FALHA_VALOR
2798653 8.pdf,Erro,,,FALHA_VALOR
2798653 9.pdf,Erro,,,FALHA_VALOR
2800.pdf,Pagamentos,18/12/2025,"2.800,00",OK
"310,0.pdf",Pagamentos,01/12/2025,"310,00",OK
311.pdf,Pagamentos,17/12/2025,"311,00",OK
"3300..,.pdf",Pagamentos,17/12/2025,"3.300,00",OK
3340 (1).pdf,Outros,,,FALHA_VALOR
34.pdf,Pagamentos,12/12/2025,"34,00",OK
"3480,0.pdf",Pagamentos,12/12/2025,"3.480,00",OK
35190712233626807000193000000000004225119343029299 Nota 42.pdf,Nota Fiscal / Servio,,,FALHA_VALOR
35190712247728442000112000000000005725121067350710 (2).pdf,Nota Fiscal / Servio,,,FALHA_VALOR
35251003516736000105550010000061321250061325-nfe.pdf,Nota Fiscal / Produto,09/10/2025,"0,00",FALHA_VALOR
35251010697553000107550010000779091555229131-nfe.pdf,Nota Fiscal / Produto,03/10/2025,"475,65",OK
35251010697553000107550010000779651695628550-nfe.pdf,Nota Fiscal / Produto,04/10/2025,"1.100,27",OK
35251047728442000112550010000000011384287789_260309_103843.pdf,Nota Fiscal / Produto,,"249,75",OK
35251047728442000112550010000000091005282730.pdf,Nota Fiscal / Produto,,"1.080,00",OK
35251103516736000105550010000062051250062056-nfe.pdf,Nota Fiscal / Produto,08/11/2025,"0,00",FALHA_VALOR
35251203516736000105550010000062621250062625-nfe.pdf,Nota Fiscal / Produto,02/12/2025,"0,00",FALHA_VALOR
"36099,.pdf",Pagamentos,12/12/2025,"36.099,08",OK
"374,74.pdf",Pagamentos,17/12/2025,"374,74",OK
"374,755.pdf",Pagamentos,15/01/2026,"374,75",OK
383.pdf,Pagamentos,15/12/2025,"383,08",OK
"430,35.pdf",Pagamentos,12/12/2025,"420,00",OK
4944.pdf,Impostos/Taxas,17/12/2025,"4.944,33",OK
4bec9601-82c5-4705-a8a2-34fda942057b.pdf,Luz,16/12/2025,"595,17",OK
